account_id,step,day,profile,is_at_risk,hour_of_day,is_night,night_ratio_7d,night_ratio_14d,temporal_shift,amount,amount_log,amount_vs_avg_7d,total_amount_7d,tx_count_24h,tx_count_7d,burst_score,unique_recv_7d,unique_recv_24h,qris_ratio_7d,channel,drain_cycle_flag,dormant_flag,is_gambling
AUG_0021,530,22,normal,0,2,1,0.2,0.3,-0.2,263348.0,12.4812,1.3034,1010232.0,1,5,1.4,3,1,0.0,ewallet,0,0,0
AUG_0021,562,23,normal,0,10,0,0.4,0.4,0.0,181377.0,12.1083,0.8199,1106132.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0021,603,25,normal,0,3,1,0.4,0.4,0.0,155282.0,11.953,0.7531,1030920.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,625,26,normal,0,1,1,0.6,0.4,0.4,466972.0,13.054,2.3775,982080.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0021,652,27,normal,0,4,1,0.8,0.4,0.8,193883.0,12.175,0.7454,1300456.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,673,28,normal,0,1,1,0.8333,0.4545,0.8333,236452.0,12.3735,0.9494,1494339.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0021,702,29,normal,0,6,0,0.8,0.5455,0.4667,147096.0,11.8988,0.596,1233966.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0021,721,30,normal,0,1,1,0.6667,0.5455,0.2667,361906.0,12.7991,1.5723,1381062.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0021,742,30,normal,0,22,1,0.8333,0.5833,0.5,210479.0,12.2571,0.8087,1561591.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0021,765,31,normal,0,21,0,0.8571,0.6667,0.4571,185522.0,12.1309,0.7328,1772070.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0021,789,32,normal,0,21,0,0.7143,0.6667,0.1143,192223.0,12.1664,0.7466,1802310.0,1,7,1.0,3,1,0.0,ewallet,0,0,0
AUG_0021,808,33,normal,0,16,0,0.5714,0.6667,-0.2286,434352.0,12.9816,1.9904,1527561.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0022,9,0,normal,0,9,0,0.0,0.0,0.0,145623.0,11.8888,1.0,0.0,0,0,0.0,0,0,0.0,ewallet,0,0,0
AUG_0022,25,1,normal,0,1,1,0.0,0.0,0.0,400811.0,12.9012,2.7524,145623.0,1,1,7.0,1,1,0.0,transfer,0,0,0
AUG_0022,47,1,normal,0,23,1,0.5,0.5,0.5,236190.0,12.3724,0.8645,546434.0,1,2,3.5,2,1,0.0,ewallet,0,0,0
AUG_0022,95,3,normal,0,23,1,0.6667,0.6667,0.6667,333086.0,12.7162,1.2768,782624.0,0,3,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,140,5,normal,0,20,0,0.75,0.75,0.75,141126.0,11.8574,0.506,1115710.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0022,174,7,normal,0,6,0,0.6,0.6,0.6,228858.0,12.3409,0.9105,1256836.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,203,8,normal,0,11,0,0.5,0.5,0.0,152561.0,11.9353,0.6497,939260.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,234,9,normal,0,18,0,0.25,0.4286,-0.4167,458438.0,13.0356,2.1432,855631.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0022,270,11,normal,0,6,0,0.0,0.375,-0.75,173920.0,12.0664,0.7092,980983.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,314,13,normal,0,2,1,0.0,0.3333,-0.6,277486.0,12.5335,1.0949,1013777.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,343,14,normal,0,7,0,0.25,0.4,-0.25,144514.0,11.8811,0.5441,1062405.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0022,380,15,normal,0,20,0,0.25,0.3333,-0.15,218869.0,12.2962,0.8303,1054358.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,423,17,normal,0,15,0,0.25,0.2222,0.05,266417.0,12.4928,1.3079,814789.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0022,447,18,normal,0,15,0,0.25,0.1111,0.25,221506.0,12.3082,0.9766,907286.0,1,4,1.75,3,1,0.0,ewallet,0,0,0
AUG_0022,470,19,normal,0,14,0,0.2,0.1,0.2,173495.0,12.0639,0.7685,1128792.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0022,510,21,normal,0,6,0,0.0,0.1,-0.2,174570.0,12.0701,0.8517,1024801.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,532,22,normal,0,4,1,0.0,0.1,-0.2,380563.0,12.8494,1.8039,1054857.0,1,5,1.4,3,1,0.0,ewallet,0,0,0
AUG_0022,564,23,normal,0,12,0,0.2,0.2,0.0,181666.0,12.1099,0.7466,1216551.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0022,605,25,normal,0,5,0,0.2,0.2,0.0,162285.0,11.9971,0.7169,1131800.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,627,26,normal,0,3,1,0.2,0.2,0.0,424337.0,12.9583,1.9781,1072579.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0022,654,27,normal,0,6,0,0.4,0.2,0.4,155642.0,11.9553,0.588,1323421.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0022,675,28,normal,0,3,1,0.3333,0.1818,0.3333,294414.0,12.5927,1.1943,1479063.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0022,704,29,normal,0,8,0,0.4,0.2727,0.2333,189966.0,12.1546,0.7796,1218344.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0022,723,30,normal,0,3,1,0.3333,0.2727,0.1333,322801.0,12.6848,1.3753,1408310.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0022,744,31,normal,0,0,1,0.5,0.3333,0.3333,260435.0,12.4701,1.0085,1549445.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0022,767,31,normal,0,23,1,0.5714,0.4167,0.3714,181145.0,12.1071,0.7006,1809880.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0022,791,32,normal,0,23,1,0.7143,0.5,0.5143,193962.0,12.1754,0.7424,1828740.0,1,7,1.0,3,1,0.0,ewallet,0,0,0
AUG_0022,810,33,normal,0,18,0,0.7143,0.5833,0.3143,369643.0,12.8203,1.6188,1598365.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0023,15,0,normal,0,15,0,0.0,0.0,0.0,176818.0,12.0829,1.0,0.0,0,0,0.0,0,0,0.0,ewallet,0,0,0
AUG_0023,31,1,normal,0,7,0,0.0,0.0,0.0,287064.0,12.5675,1.6235,176818.0,1,1,7.0,1,1,0.0,transfer,0,0,0
AUG_0023,53,2,normal,0,5,0,0.0,0.0,0.0,256795.0,12.456,1.1072,463882.0,1,2,3.5,2,1,0.0,ewallet,0,0,0
AUG_0023,101,4,normal,0,5,0,0.0,0.0,0.0,352584.0,12.773,1.4677,720677.0,0,3,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,146,6,normal,0,2,1,0.0,0.0,0.0,141216.0,11.8581,0.5263,1073261.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0023,180,7,normal,0,12,0,0.2,0.2,0.2,210257.0,12.2561,0.8656,1214477.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,209,8,normal,0,17,0,0.25,0.1667,0.25,163447.0,12.0043,0.6804,960852.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,240,10,normal,0,0,1,0.25,0.1429,0.25,333291.0,12.7168,1.5368,867504.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0023,276,11,normal,0,12,0,0.5,0.25,0.5,185558.0,12.1311,0.8751,848211.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,320,13,normal,0,8,0,0.25,0.2222,0.05,344758.0,12.7506,1.545,892553.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,349,14,normal,0,13,0,0.25,0.2,0.0833,161287.0,11.9909,0.6282,1027054.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0023,386,16,normal,0,2,1,0.25,0.2222,0.05,229624.0,12.3442,0.8962,1024894.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,429,17,normal,0,21,0,0.25,0.3333,-0.15,311617.0,12.6495,1.3531,921227.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0023,453,18,normal,0,21,0,0.25,0.3333,-0.15,238004.0,12.38,0.909,1047286.0,1,4,1.75,3,1,0.0,ewallet,0,0,0
AUG_0023,476,19,normal,0,20,0,0.2,0.3,-0.2,187337.0,12.1407,0.7288,1285290.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0023,516,21,normal,0,12,0,0.2,0.2,0.0,219432.0,12.2988,0.9728,1127869.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,538,22,normal,0,10,0,0.2,0.2,0.0,280658.0,12.5449,1.1832,1186014.0,1,5,1.4,3,1,0.0,ewallet,0,0,0
AUG_0023,570,23,normal,0,18,0,0.0,0.2,-0.4,177879.0,12.0889,0.719,1237048.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0023,611,25,normal,0,11,0,0.0,0.1,-0.2,181181.0,12.1073,0.8211,1103310.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,633,26,normal,0,9,0,0.0,0.1,-0.2,370917.0,12.8237,1.7722,1046487.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0023,660,27,normal,0,12,0,0.0,0.1,-0.2,150580.0,11.9223,0.6121,1230067.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0023,681,28,normal,0,9,0,0.0,0.0909,-0.2,269574.0,12.5046,1.1715,1380647.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0023,710,29,normal,0,14,0,0.0,0.0909,-0.1667,208254.0,12.2465,0.9053,1150131.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0023,729,30,normal,0,9,0,0.0,0.0,0.0,276920.0,12.5315,1.2232,1358385.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0023,750,31,normal,0,6,0,0.0,0.0,0.0,267698.0,12.4976,1.1021,1457426.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0023,773,32,normal,0,5,0,0.0,0.0,0.0,216315.0,12.2845,0.8777,1725124.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0023,797,33,normal,0,5,0,0.0,0.0,0.0,227630.0,12.3355,0.9052,1760258.0,1,7,1.0,3,1,0.0,ewallet,0,0,0
AUG_0023,816,34,normal,0,0,1,0.0,0.0,0.0,379615.0,12.8469,1.6434,1616971.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0024,7,0,normal,0,7,0,0.0,0.0,0.0,132457.0,11.794,1.0,0.0,0,0,0.0,0,0,0.0,ewallet,0,0,0
AUG_0024,23,0,normal,0,23,1,0.0,0.0,0.0,390677.0,12.8756,2.9495,132457.0,1,1,7.0,1,1,0.0,transfer,0,0,0
AUG_0024,45,1,normal,0,21,0,0.5,0.5,0.5,254240.0,12.446,0.972,523134.0,1,2,3.5,2,1,0.0,ewallet,0,0,0
AUG_0024,93,3,normal,0,21,0,0.3333,0.3333,0.3333,286237.0,12.5646,1.1046,777374.0,0,3,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,138,5,normal,0,18,0,0.25,0.25,0.25,177185.0,12.085,0.6664,1063611.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0024,172,7,normal,0,4,1,0.2,0.2,0.2,214122.0,12.2743,0.8628,1240796.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,201,8,normal,0,9,0,0.25,0.3333,-0.25,165114.0,12.0144,0.7088,931784.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,232,9,normal,0,16,0,0.25,0.2857,-0.0833,391104.0,12.8767,1.8565,842658.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0024,268,11,normal,0,4,1,0.25,0.25,0.0,214096.0,12.2742,0.9038,947525.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,312,13,normal,0,0,1,0.5,0.3333,0.3,310471.0,12.6458,1.2615,984436.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,341,14,normal,0,5,0,0.5,0.4,0.1667,133730.0,11.8036,0.4949,1080785.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0024,378,15,normal,0,18,0,0.5,0.3333,0.3,220292.0,12.3027,0.8397,1049401.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,421,17,normal,0,13,0,0.5,0.3333,0.3,325599.0,12.6934,1.4824,878589.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0024,445,18,normal,0,13,0,0.25,0.3333,-0.15,235300.0,12.3686,0.9506,990092.0,1,4,1.75,3,1,0.0,ewallet,0,0,0
AUG_0024,468,19,normal,0,12,0,0.2,0.3,-0.2,158723.0,11.9749,0.6476,1225392.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0024,508,21,normal,0,4,1,0.0,0.3,-0.6,228849.0,12.3408,1.0658,1073644.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,530,22,normal,0,2,1,0.2,0.3,-0.2,346007.0,12.7542,1.4802,1168763.0,1,5,1.4,3,1,0.0,ewallet,0,0,0
AUG_0024,562,23,normal,0,10,0,0.4,0.4,0.0,185930.0,12.1331,0.7182,1294478.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0024,603,25,normal,0,3,1,0.4,0.4,0.0,224687.0,12.3225,0.9728,1154809.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,625,26,normal,0,1,1,0.6,0.4,0.4,462795.0,13.045,2.0224,1144196.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0024,652,27,normal,0,4,1,0.8,0.4,0.8,212191.0,12.2652,0.7326,1448268.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0024,673,28,normal,0,1,1,0.8333,0.4545,0.8333,260599.0,12.4707,0.9417,1660459.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0024,702,29,normal,0,6,0,0.8,0.5455,0.4667,152333.0,11.9338,0.5658,1346202.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0024,721,30,normal,0,1,1,0.6667,0.5455,0.2667,299449.0,12.6097,1.199,1498535.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0024,742,30,normal,0,22,1,0.8333,0.5833,0.5,266094.0,12.4916,0.9904,1612054.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0024,765,31,normal,0,21,0,0.8571,0.6667,0.4571,162705.0,11.9997,0.6064,1878148.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0024,789,32,normal,0,21,0,0.7143,0.6667,0.1143,175017.0,12.0726,0.6746,1816166.0,1,7,1.0,3,1,0.0,ewallet,0,0,0
AUG_0024,808,33,normal,0,16,0,0.5714,0.6667,-0.2286,335518.0,12.7234,1.5367,1528388.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0025,1,0,normal,0,1,1,0.0,0.0,0.0,183838.0,12.1218,1.0,0.0,0,0,0.0,0,0,0.0,ewallet,0,0,0
AUG_0025,12,0,normal,0,12,0,1.0,1.0,1.0,416360.0,12.9393,2.2648,183838.0,1,1,7.0,1,1,0.0,transfer,0,0,0
AUG_0025,34,1,normal,0,10,0,0.5,0.5,0.5,296114.0,12.5985,0.9867,600198.0,1,2,3.5,2,1,0.0,ewallet,0,0,0
AUG_0025,82,3,normal,0,10,0,0.3333,0.3333,0.3333,268162.0,12.4994,0.8976,896312.0,0,3,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,127,5,normal,0,7,0,0.25,0.25,0.25,171719.0,12.0536,0.5899,1164474.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0025,161,6,normal,0,17,0,0.2,0.2,0.2,179916.0,12.1003,0.6732,1336193.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,190,7,normal,0,22,1,0.0,0.1667,-0.5,160127.0,11.9837,0.6993,915911.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,221,9,normal,0,5,0,0.25,0.2857,-0.0833,460530.0,13.0401,2.3619,779924.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0025,257,10,normal,0,17,0,0.25,0.25,0.0,177049.0,12.0842,0.7284,972292.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,301,12,normal,0,13,0,0.25,0.2222,0.05,352741.0,12.7735,1.4433,977622.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,330,13,normal,0,18,0,0.25,0.2,0.0833,145999.0,11.8914,0.5076,1150447.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0025,367,15,normal,0,7,0,0.0,0.1111,-0.2,158011.0,11.9704,0.5562,1136319.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,410,17,normal,0,2,1,0.0,0.1111,-0.2,331800.0,12.7123,1.5917,833800.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0025,434,18,normal,0,2,1,0.25,0.2222,0.05,236498.0,12.3737,0.9569,988551.0,1,4,1.75,3,1,0.0,ewallet,0,0,0
AUG_0025,457,19,normal,0,1,1,0.4,0.3,0.2,211078.0,12.26,0.8615,1225049.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0025,497,20,normal,0,17,0,0.6,0.4,0.4,205611.0,12.2337,0.9489,1083386.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,519,21,normal,0,15,0,0.6,0.4,0.4,257409.0,12.4584,1.126,1142998.0,1,5,1.4,3,1,0.0,ewallet,0,0,0
AUG_0025,551,22,normal,0,23,1,0.6,0.3,0.6,174666.0,12.0706,0.7029,1242396.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0025,592,24,normal,0,16,0,0.6,0.4,0.4,216165.0,12.2838,0.9959,1085262.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,614,25,normal,0,14,0,0.4,0.4,0.0,330645.0,12.7088,1.5524,1064929.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0025,641,26,normal,0,17,0,0.2,0.4,-0.4,197179.0,12.1919,0.8323,1184496.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0025,662,27,normal,0,14,0,0.1667,0.3636,-0.4333,210643.0,12.2579,0.9147,1381675.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0025,691,28,normal,0,19,0,0.2,0.3636,-0.3,146092.0,11.892,0.6468,1129298.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0025,710,29,normal,0,14,0,0.1667,0.3636,-0.4333,341657.0,12.7416,1.6073,1275390.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0025,731,30,normal,0,11,0,0.0,0.3333,-0.6667,249582.0,12.4275,1.0382,1442381.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0025,754,31,normal,0,10,0,0.0,0.25,-0.6,183754.0,12.1214,0.7602,1691963.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0025,778,32,normal,0,10,0,0.0,0.1667,-0.4,237385.0,12.3774,1.0013,1659552.0,1,7,1.0,3,1,0.0,ewallet,0,0,0
AUG_0025,797,33,normal,0,5,0,0.0,0.0833,-0.2,332904.0,12.7156,1.4878,1566292.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0026,1,0,normal,0,1,1,0.0,0.0,0.0,142015.0,11.8637,1.0,0.0,0,0,0.0,0,0,0.0,ewallet,0,0,0
AUG_0026,12,0,normal,0,12,0,1.0,1.0,1.0,332774.0,12.7152,2.3432,142015.0,1,1,7.0,1,1,0.0,transfer,0,0,0
AUG_0026,34,1,normal,0,10,0,0.5,0.5,0.5,250497.0,12.4312,1.0552,474789.0,1,2,3.5,2,1,0.0,ewallet,0,0,0
AUG_0026,82,3,normal,0,10,0,0.3333,0.3333,0.3333,290274.0,12.5786,1.2007,725286.0,0,3,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,127,5,normal,0,7,0,0.25,0.25,0.25,179140.0,12.0959,0.7056,1015560.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0026,161,6,normal,0,17,0,0.2,0.2,0.2,216462.0,12.2852,0.9059,1194700.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,190,7,normal,0,22,1,0.0,0.1667,-0.5,185168.0,12.129,0.791,936373.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,221,9,normal,0,5,0,0.25,0.2857,-0.0833,344242.0,12.7491,1.5808,871044.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0026,257,10,normal,0,17,0,0.25,0.25,0.0,184601.0,12.126,0.7983,925012.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,301,12,normal,0,13,0,0.25,0.2222,0.05,244165.0,12.4056,1.0496,930473.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,330,13,normal,0,18,0,0.25,0.2,0.0833,160898.0,11.9885,0.6717,958176.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0026,367,15,normal,0,7,0,0.0,0.1111,-0.2,196247.0,12.1871,0.8405,933906.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,410,17,normal,0,2,1,0.0,0.1111,-0.2,375664.0,12.8365,1.912,785911.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0026,434,18,normal,0,2,1,0.25,0.2222,0.05,293243.0,12.5888,1.2006,976974.0,1,4,1.75,3,1,0.0,ewallet,0,0,0
AUG_0026,457,19,normal,0,1,1,0.4,0.3,0.2,156578.0,11.9613,0.6163,1270217.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0026,497,20,normal,0,17,0,0.6,0.4,0.4,214369.0,12.2755,0.9063,1182630.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,519,21,normal,0,15,0,0.6,0.4,0.4,321989.0,12.6823,1.3024,1236101.0,1,5,1.4,3,1,0.0,ewallet,0,0,0
AUG_0026,551,22,normal,0,23,1,0.6,0.3,0.6,165906.0,12.0192,0.6091,1361843.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0026,592,24,normal,0,16,0,0.6,0.4,0.4,205365.0,12.2325,0.8913,1152085.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,614,25,normal,0,14,0,0.4,0.4,0.0,443219.0,13.0018,2.0824,1064207.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0026,641,26,normal,0,17,0,0.2,0.4,-0.4,177519.0,12.0868,0.6571,1350848.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0026,662,27,normal,0,14,0,0.1667,0.3636,-0.4333,226599.0,12.3309,0.8896,1528367.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0026,691,28,normal,0,19,0,0.2,0.3636,-0.3,167460.0,12.0285,0.6871,1218608.0,0,5,0.0,3,0,0.0,transfer,0,0,0
AUG_0026,710,29,normal,0,14,0,0.1667,0.3636,-0.4333,344050.0,12.7485,1.4893,1386068.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0026,731,30,normal,0,11,0,0.0,0.3333,-0.6667,191772.0,12.1641,0.7356,1564212.0,1,6,1.1667,3,1,0.0,ewallet,0,0,0
AUG_0026,754,31,normal,0,10,0,0.0,0.25,-0.6,198703.0,12.1996,0.7921,1755984.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0026,778,32,normal,0,10,0,0.0,0.1667,-0.4,172276.0,12.0569,0.6894,1749322.0,1,7,1.0,3,1,0.0,ewallet,0,0,0
AUG_0026,797,33,normal,0,5,0,0.0,0.0833,-0.2,350819.0,12.768,1.6611,1478379.0,1,7,1.0,3,1,0.0,transfer,0,0,0
AUG_0027,15,0,normal,0,15,0,0.0,0.0,0.0,128164.0,11.7611,1.0,0.0,0,0,0.0,0,0,0.0,ewallet,0,0,0
AUG_0027,31,1,normal,0,7,0,0.0,0.0,0.0,295129.0,12.5952,2.3027,128164.0,1,1,7.0,1,1,0.0,transfer,0,0,0
